username,score,percentile
Asier2003,1.0,1.4041675481277767
Mahi,1.0,1.4041675481277767
SisterA,1.0,1.4041675481277767
Tuffiii,1.0,1.4041675481277767
lastcherry,1.0,1.4041675481277767
watchlist,1.0,1.4041675481277767
Treee,1.01,1.422678231436429
Deimer828YT,1.02,1.433255764755659
SaulDoherty,1.02,1.433255764755659
TonyMontania,1.02,1.433255764755659
RaginAus,1.03,1.4464776814046965
SpicyGinJoon,1.03,1.4464776814046965
Aozanaki,1.04,1.4623439813835415
JonahTheMans,1.04,1.4623439813835415
KuzaTei,1.04,1.4623439813835415
ObiMeow,1.04,1.4623439813835415
ICD,1.05,1.4914321980114238
Kenway3211,1.05,1.4914321980114238
Nghtly,1.05,1.4914321980114238
Sartec,1.05,1.4914321980114238
YoannDu673,1.05,1.4914321980114238
novaloquendo,1.05,1.4914321980114238
zPixel,1.05,1.4914321980114238
Brad,1.07,1.5178760313094988
idk0000,1.07,1.5178760313094988
klx,1.07,1.5178760313094988
Jaybird652,1.08,1.5284535646287285
HanimeGhoul,1.09,1.541675481277766
OSilver,1.09,1.541675481277766
SunSunThekitten,1.09,1.541675481277766
Tupper,1.09,1.541675481277766
Doodi3,1.1,1.5601861645864186
TheBonkumiru,1.1,1.5601861645864186
yilrus,1.1,1.5601861645864186
cjh64,1.11,1.5707636979056485
Dolt,1.12,1.5760524645652634
Serlum,1.13,1.5866299978844933
TheSexyBread,1.13,1.5866299978844933
syk,1.13,1.5866299978844933
Gucio,1.14,1.6077850645229534
MeWirerle,1.14,1.6077850645229534
ProtoSnake72,1.14,1.6077850645229534
borazan,1.14,1.6077850645229534
qaze,1.14,1.6077850645229534
LeonsOnline,1.15,1.6289401311614133
Lune,1.15,1.6289401311614133
jbernal180,1.15,1.6289401311614133
Snakebab,1.16,1.639517664480643
AsuKo,1.17,1.6580283477892956
Froce,1.17,1.6580283477892956
Kubercik,1.17,1.6580283477892956
gaping,1.17,1.6580283477892956
marty56,1.17,1.6580283477892956
mlgcarlos,1.17,1.6580283477892956
hasty,1.18,1.676539031097948
Coward,1.19,1.6950497144066003
EvReset,1.19,1.6950497144066003
RapTheFox456,1.19,1.6950497144066003
codeine,1.19,1.6950497144066003
fQrest,1.19,1.6950497144066003
lala6,1.19,1.6950497144066003
Fathrion,1.2,1.7188491643748676
baluhun,1.2,1.7188491643748676
sleeplessninja,1.2,1.7188491643748676
Eliott,1.21,1.7347154643537126
Remokc,1.21,1.7347154643537126
sswysh,1.21,1.7347154643537126
L04F,1.22,1.7452929976729425
Paolo45,1.24,1.7585149143219803
SawbladeDoom,1.24,1.7585149143219803
Sketchinat3r,1.24,1.7585149143219803
ViciousTracker,1.24,1.7585149143219803
Az1do,1.26,1.7928918976094772
Geromusix,1.26,1.7928918976094772
Hotman0,1.26,1.7928918976094772
Koil,1.26,1.7928918976094772
Mimik,1.26,1.7928918976094772
hakryx,1.26,1.7928918976094772
jimpuff,1.26,1.7928918976094772
kaiten619,1.26,1.7928918976094772
wrinkle,1.26,1.7928918976094772
Doubbly,1.28,1.8193357309075522
SkyCurse,1.29,1.8246244975671673
Kaustrale,1.3,1.83255764755659
S0URMAY0,1.3,1.83255764755659
Moleey,1.31,1.8537127141950498
RavensLies,1.31,1.8537127141950498
